team,player,period,min,sec,pass zone,x,y,x_end,y_end,pass length,pass angle,outcome
Real Madrid,Marco Asensio,1,8,6,Center,68.2,37.7,74.6,25.6,10.6,5.4,0
Real Madrid,Marco Asensio,1,8,8,Back,67.1,25.6,47.8,26.4,20.3,3.1,1
Real Madrid,Raphael Varane,1,8,12,Right,53.3,28.2,75.8,4.3,28.7,5.7,1
Real Madrid,Daniel Carvajal,1,8,15,Right,78.9,5.9,80.1,10.0,3.1,1.1,0
Leganés,Rubén Pérez,1,8,17,Back,26.0,58.4,30.8,67.9,8.2,0.9,1
Leganés,Nabil El Zhar,1,8,19,Back,32.5,67.9,26.4,64.8,6.7,3.5,1
Leganés,Gerard Gumbau,1,8,20,Back,24.8,64.8,33.8,64.2,9.5,6.2,0
Real Madrid,Casemiro,1,8,21,Left,68.0,33.4,67.6,90.3,38.7,1.6,1
Real Madrid,Marcelo,1,8,26,Center,68.4,90.8,87.9,62.3,28.2,5.5,0
Real Madrid,Toni Kroos,1,8,31,Left,63.5,89.2,50.3,84.1,14.3,3.4,1
Real Madrid,Sergio Ramos,1,8,35,Back,48.1,74.5,47.9,35.2,26.7,4.7,1
Real Madrid,Raphael Varane,1,8,40,Right,61.0,24.9,68.5,2.9,16.9,5.2,1
Real Madrid,Daniel Carvajal,1,8,42,Back,68.2,2.5,44.2,14.3,26.4,2.8,1
Real Madrid,Raphael Varane,1,8,45,Back,44.2,14.3,41.0,66.4,35.6,1.7,1
Real Madrid,Sergio Ramos,1,8,49,Left,55.6,74.5,64.2,79.4,9.6,0.4,1
Real Madrid,Gareth Bale,1,8,52,Left,70.9,91.7,77.7,98.6,8.5,0.6,1
Real Madrid,Marcelo,1,8,55,Left,72.8,95.3,68.0,93.5,5.2,3.4,1
Real Madrid,Toni Kroos,1,8,57,Left,68.0,92.0,74.9,96.9,8.0,0.4,1
Real Madrid,Marcelo,1,9,0,Left,78.0,97.4,93.1,83.6,18.4,5.7,1
Real Madrid,Gareth Bale,1,9,2,Center,93.4,82.6,97.7,34.2,33.2,4.8,0
Real Madrid,Toni Kroos,1,9,34,Center,99.5,0.5,91.9,45.7,31.8,1.8,0
Real Madrid,Daniel Carvajal,1,9,38,Back,70.6,47.3,39.8,91.5,44.2,2.4,1
Real Madrid,Marcelo,1,9,46,Back,41.8,88.1,30.8,49.0,29.0,4.3,1
Real Madrid,Daniel Carvajal,1,9,49,Back,31.7,46.4,42.3,60.0,14.5,0.7,1
Real Madrid,Sergio Ramos,1,9,53,Back,39.4,57.6,41.3,35.2,15.4,4.8,1
Real Madrid,Raphael Varane,1,9,56,Back,40.0,36.1,45.7,73.9,26.4,1.3,1
Real Madrid,Casemiro,1,9,59,Center,45.5,73.8,53.6,71.4,8.7,6.1,1
Real Madrid,Toni Kroos,1,10,0,Back,53.6,71.4,46.9,79.1,8.8,2.5,1
Real Madrid,Marcelo,1,10,2,Left,46.5,81.2,52.0,97.2,12.3,1.1,1
Real Madrid,Karim Benzema,1,10,4,Back,45.8,94.2,47.0,87.7,4.6,5.0,1
Real Madrid,Marcelo,1,10,5,Left,46.9,87.5,54.2,97.5,10.2,0.7,1
Real Madrid,Karim Benzema,1,10,9,Left,56.1,97.4,64.6,82.3,13.6,5.4,0
Leganés,Unai Bustinza,1,10,10,Right,37.6,18.3,63.9,18.8,27.6,0.0,0
Real Madrid,Sergio Ramos,1,10,14,Back,42.6,83.9,46.4,96.0,9.1,1.1,1
Real Madrid,Marcelo,1,10,16,Center,46.2,96.3,76.3,42.8,48.2,5.4,0
Leganés,Jonathan Silva,1,10,18,Back,22.9,58.8,10.5,64.7,13.6,2.8,1
Leganés,Iván Cuéllar,1,10,21,Back,11.2,63.7,19.5,80.0,14.1,0.9,1
Leganés,Jonathan Silva,1,10,24,Center,22.0,82.4,66.8,61.1,49.2,6.0,0
Real Madrid,Casemiro,1,10,28,Back,38.2,42.5,46.9,35.5,10.3,5.8,1
Real Madrid,Luka Modric,1,10,29,Back,46.9,35.5,47.4,46.1,7.2,1.5,1
Real Madrid,Casemiro,1,10,36,Back,48.2,45.7,45.3,45.7,3.0,3.1,1
Real Madrid,Toni Kroos,1,10,39,Back,43.6,50.9,45.7,69.0,12.5,1.4,1
Real Madrid,Marcelo,1,10,40,Left,46.2,78.5,52.4,93.1,11.9,1.0,1
Real Madrid,Gareth Bale,1,10,42,Back,55.2,96.5,46.4,72.0,19.1,4.2,1
Real Madrid,Toni Kroos,1,10,47,Right,45.6,66.6,63.5,5.6,45.5,5.1,1
Real Madrid,Daniel Carvajal,1,10,52,Right,63.7,5.6,62.7,15.2,6.6,1.7,1
Real Madrid,Luka Modric,1,10,53,Right,63.2,8.0,62.8,2.9,3.5,4.6,1
Real Madrid,Daniel Carvajal,1,10,55,Back,56.2,3.7,41.0,23.9,21.1,2.4,1
Real Madrid,Raphael Varane,1,10,58,Back,38.0,28.6,45.1,68.5,28.1,1.3,1
Real Madrid,Sergio Ramos,1,11,1,Left,56.8,67.6,66.0,96.8,22.1,1.1,1
Real Madrid,Marcelo,1,11,5,Left,66.5,95.6,63.3,91.5,4.4,3.8,1
Real Madrid,Toni Kroos,1,11,7,Center,62.0,84.5,91.3,21.8,52.6,5.3,1
Real Madrid,Daniel Carvajal,1,11,13,Right,93.3,16.2,93.6,19.1,2.0,1.4,0
Real Madrid,Daniel Carvajal,1,11,19,Right,90.4,0.0,77.9,5.3,13.9,2.8,1
Real Madrid,Marco Asensio,1,11,21,Back,75.5,5.9,46.7,27.6,33.6,2.7,1
Real Madrid,Raphael Varane,1,11,25,Center,46.7,27.6,52.1,59.4,22.4,1.3,1
Real Madrid,Sergio Ramos,1,11,27,Center,52.1,59.4,55.7,74.4,10.9,1.2,1
Real Madrid,Toni Kroos,1,11,29,Left,58.9,76.7,68.9,98.0,17.9,0.9,1
Real Madrid,Gareth Bale,1,11,31,Left,68.7,97.5,62.4,95.9,6.7,3.3,1
Real Madrid,Marcelo,1,11,34,Left,62.0,94.2,68.5,97.4,7.2,0.3,1
Real Madrid,Gareth Bale,1,11,37,Left,67.7,92.3,68.4,89.6,2.0,5.1,0
Leganés,Guido Carrillo,1,11,42,Right,48.2,20.1,55.6,4.6,13.1,5.3,1
Leganés,Javier Eraso,1,11,43,Right,55.6,4.6,100.0,5.5,48.3,0.0,0
Real Madrid,Thibaut Courtois,1,12,6,Back,4.1,46.9,30.2,74.1,33.1,0.6,1
Real Madrid,Sergio Ramos,1,12,7,Back,30.2,74.1,45.7,96.2,22.2,0.7,1
Real Madrid,Marcelo,1,12,8,Center,45.5,95.7,58.1,78.1,17.8,5.5,1
Real Madrid,Gareth Bale,1,12,13,Center,71.6,97.8,74.7,78.1,13.8,5.0,1
Real Madrid,Karim Benzema,1,12,16,Center,72.5,73.2,68.9,53.1,14.2,4.4,1
Real Madrid,Luka Modric,1,12,18,Right,68.8,52.7,81.3,11.4,31.0,5.1,1
Real Madrid,Marco Asensio,1,12,22,Center,79.9,22.7,91.2,47.6,20.7,1.0,0
Real Madrid,Toni Kroos,1,12,47,Left,99.5,99.5,81.6,96.8,18.9,3.2,1
Real Madrid,Marco Asensio,1,12,49,Left,80.7,96.0,70.6,80.0,15.2,3.9,1
Real Madrid,Marcelo,1,12,52,Center,70.4,79.4,94.4,25.0,44.8,5.3,1
Real Madrid,Karim Benzema,1,12,54,Center,94.5,25.0,88.5,24.0,6.3,3.2,1
